Net Status Report
Filename     : C:\Users\Zeynep\Desktop\Zeynep\software\plugins\github\uz_d_gan_inverter_epc\GaN_Inverter\GanInverter.PcbDoc
Date         : 6/7/2023
Time         : 11:29:55 AM
Time Elapsed : 00:00:00

Nets, Layer, Length
    -V_DC, Signal Layers Only, 1.8553mm
    2V5_REF, Signal Layers Only, 342.1133mm
    3V3_PER, Signal Layers Only, 379.7434mm
    3V3_PER_unfused, Signal Layers Only, 23.9032mm
    3V3_U1A, Signal Layers Only, 2.6205mm
    3V3_U1B, Signal Layers Only, 2.6205mm
    3V3_U1C, Signal Layers Only, 2.6205mm
    3V3_U2A, Signal Layers Only, 2.5062mm
    3V3_U2B, Signal Layers Only, 2.5062mm
    3V3_U2C, Signal Layers Only, 2.5062mm
    5V_PER, Signal Layers Only, 357.7976mm
    5V_PER_unfused, Signal Layers Only, 21.5986mm
    5V_U1, Signal Layers Only, 7.4477mm
    5V_U10, Signal Layers Only, 9.8637mm
    5V_U11, Signal Layers Only, 3.6854mm
    5V_U12, Signal Layers Only, 9.5208mm
    5V_U2A, Signal Layers Only, 3.626mm
    5V_U2B, Signal Layers Only, 9.0647mm
    5V_U2C, Signal Layers Only, 3.6249mm
    5V_U3A, Signal Layers Only, 9.4917mm
    5V_U3B, Signal Layers Only, 9.5207mm
    5V_U3C, Signal Layers Only, 9.5207mm
    5V_U4A, Signal Layers Only, 9.5207mm
    5V_U4B, Signal Layers Only, 9.5207mm
    5V_U4C, Signal Layers Only, 9.5207mm
    COM_HSA, Signal Layers Only, 136.6387mm
    COM_HSB, Signal Layers Only, 133.7253mm
    COM_HSC, Signal Layers Only, 102.1043mm
    COM_LSA, Signal Layers Only, 106.1722mm
    COM_LSB, Signal Layers Only, 101.4581mm
    COM_LSC, Signal Layers Only, 100.6498mm
    DC-, Signal Layers Only, 58.3525mm
    FAULT_H1, Signal Layers Only, 66.9536mm
    FAULT_H2, Signal Layers Only, 59.2041mm
    FAULT_H3, Signal Layers Only, 75.4378mm
    FAULT_L1, Signal Layers Only, 62.0284mm
    FAULT_L2, Signal Layers Only, 59.6557mm
    FAULT_L3, Signal Layers Only, 80.4152mm
    FLT_BOTA, Signal Layers Only, 6.0146mm
    FLT_BOTB, Signal Layers Only, 7.3343mm
    FLT_BOTC, Signal Layers Only, 5.6018mm
    FLT_TOPA, Signal Layers Only, 20.2045mm
    FLT_TOPB, Signal Layers Only, 24.1866mm
    FLT_TOPC, Signal Layers Only, 20.6942mm
    GND, Signal Layers Only, 75.9886mm
    HS_12VA, Signal Layers Only, 29.3196mm
    HS_12VB, Signal Layers Only, 25.9668mm
    HS_12VC, Signal Layers Only, 21.9801mm
    HS_5VA, Signal Layers Only, 65.5279mm
    HS_5VB, Signal Layers Only, 50.686mm
    HS_5VC, Signal Layers Only, 72.9584mm
    IA_N, Signal Layers Only, 7.097mm
    IA_P, Signal Layers Only, 7.0625mm
    IB_N, Signal Layers Only, 6.9951mm
    IB_P, Signal Layers Only, 6.9606mm
    IC_N, Signal Layers Only, 6.966mm
    IC_P, Signal Layers Only, 6.9899mm
    I_DC_N, Signal Layers Only, 6.9898mm
    I_DC_OUT_N, Signal Layers Only, 28.8088mm
    I_DC_OUT_P, Signal Layers Only, 28.8065mm
    I_DC_P, Signal Layers Only, 6.9951mm
    I_OUTA, Signal Layers Only, 101.4912mm
    I_OUTB, Signal Layers Only, 95.2085mm
    I_OUTC, Signal Layers Only, 90.2635mm
    I_OUT_N1, Signal Layers Only, 125.8727mm
    I_OUT_N2, Signal Layers Only, 164.251mm
    I_OUT_N3, Signal Layers Only, 185.3882mm
    I_OUT_P1, Signal Layers Only, 125.8942mm
    I_OUT_P2, Signal Layers Only, 165.6404mm
    I_OUT_P3, Signal Layers Only, 186.848mm
    LDO_5V8_BOTA, Signal Layers Only, 44.896mm
    LDO_5V8_BOTB, Signal Layers Only, 36.5762mm
    LDO_5V8_BOTC, Signal Layers Only, 31.4486mm
    LDO_5V8_TOPA, Signal Layers Only, 34.0877mm
    LDO_5V8_TOPB, Signal Layers Only, 35.776mm
    LDO_5V8_TOPC, Signal Layers Only, 44.7294mm
    LS_12VA, Signal Layers Only, 45.77mm
    LS_12VB, Signal Layers Only, 41.3052mm
    LS_12VC, Signal Layers Only, 36.9729mm
    LS_5VA, Signal Layers Only, 51.9877mm
    LS_5VB, Signal Layers Only, 61.2912mm
    LS_5VC, Signal Layers Only, 56.6472mm
    NetC15A_2, Signal Layers Only, 7.0298mm
    NetC15B_2, Signal Layers Only, 7.3247mm
    NetC15C_2, Signal Layers Only, 7.203mm
    NetC16A_2, Signal Layers Only, 7.2401mm
    NetC16B_2, Signal Layers Only, 7.3842mm
    NetC16C_2, Signal Layers Only, 7.3549mm
    NetC17A_2, Signal Layers Only, 11.6119mm
    NetC17B_2, Signal Layers Only, 11.6125mm
    NetC17C_2, Signal Layers Only, 11.6357mm
    NetC18A_2, Signal Layers Only, 18.8473mm
    NetC18B_2, Signal Layers Only, 18.8473mm
    NetC18C_2, Signal Layers Only, 18.8473mm
    NetC29A_1, Signal Layers Only, 12.7704mm
    NetC29B_1, Signal Layers Only, 13.8651mm
    NetC29C_1, Signal Layers Only, 13.1464mm
    NetC30A_1, Signal Layers Only, 10.019mm
    NetC30B_1, Signal Layers Only, 10.0392mm
    NetC30C_1, Signal Layers Only, 11.5345mm
    NetC37A_2, Signal Layers Only, 3.5819mm
    NetC37B_2, Signal Layers Only, 4.6414mm
    NetC37C_2, Signal Layers Only, 5.0332mm
    NetC38A_2, Signal Layers Only, 6.3689mm
    NetC38B_2, Signal Layers Only, 8.7077mm
    NetC38C_2, Signal Layers Only, 8.7077mm
    NetC43A_2, Signal Layers Only, 3.6579mm
    NetC43B_2, Signal Layers Only, 4.2499mm
    NetC43C_2, Signal Layers Only, 4.2636mm
    NetC57_2, Signal Layers Only, 7.3849mm
    NetC58_2, Signal Layers Only, 18.4268mm
    NetC59_1, Signal Layers Only, 7.2651mm
    NetC5A_2, Signal Layers Only, 4.9366mm
    NetC5B_2, Signal Layers Only, 4.9366mm
    NetC5C_2, Signal Layers Only, 8.748mm
    NetC60_1, Signal Layers Only, 11.3232mm
    NetC6A_2, Signal Layers Only, 4.9393mm
    NetC6B_2, Signal Layers Only, 4.9393mm
    NetC6C_2, Signal Layers Only, 4.9393mm
    NetD1_2, Signal Layers Only, 3.05mm
