Altium Designer Pick and Place Locations
C:\Users\Zeynep\Desktop\Zeynep\software\plugins\github\uz_d_gan_inverter_epc\GaN_Inverter\Project Outputs for GanInverter\ProjectRevision\Pick Place\Pick_and_Place_GanInverter_Inverter_V1_Rev02.csv

========================================================================================================================
File Design Information:

Date:       05/07/23
Time:       21:02
Revision:   95f908cc2afb3ca33fb751cbc5ddd84756c5a47c
Variant:    Inverter_V1
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"X4","1_Pin_Header","-3.0000","-3.0000","50.2000","50.2000","-3.0000","50.2000","0","4-103327-3","TopLayer"
"X3","1_Pin_Header","-5.6000","-5.6000","50.2000","50.2000","-5.6000","50.2000","180","4-103327-3","TopLayer"
"J8C","1_Pin_Header","31.3660","31.3660","15.6592","15.6592","31.3660","15.6592","0","4-103327-3","TopLayer"
"J8B","1_Pin_Header","31.3659","31.3659","43.1842","43.1842","31.3659","43.1842","0","4-103327-3","TopLayer"
"J8A","1_Pin_Header","31.3659","31.3659","70.9842","70.9842","31.3659","70.9842","0","4-103327-3","TopLayer"
"J9C","1_Pin_Header","31.3660","31.3660","3.1551","3.1550","31.3660","3.1550","0","4-103327-3","TopLayer"
"J9B","1_Pin_Header","31.2910","31.2910","29.1301","29.1300","31.2910","29.1300","0","4-103327-3","TopLayer"
"J9A","1_Pin_Header","31.3660","31.3660","57.1551","57.1550","31.3660","57.1550","0","4-103327-3","TopLayer"
"F3","1812_PTC_Polyfuse_Littelfuse","-1.2300","-1.2300","61.2700","61.2700","-3.6200","61.2700","0","Littelfuse_PTC_1812","TopLayer"
"F2","1812_PTC_Polyfuse_Littelfuse","-1.2300","-1.2300","65.5900","65.5900","-3.6200","65.5900","0","Littelfuse_PTC_1812","TopLayer"
"F1","1812_PTC_Polyfuse_Littelfuse","-1.2300","-1.2300","69.9100","69.9100","-3.6200","69.9100","0","Littelfuse_PTC_1812","TopLayer"
"R44C","3921","109.0000","109.0000","12.4900","12.4900","104.8500","12.4900","0","2mR","TopLayer"
"R85","3921","109.0000","109.0000","62.0000","62.0000","113.1500","62.0000","180","2mR","TopLayer"
"R44B","3921","109.0000","109.0000","28.0000","28.0000","104.8500","28.0000","0","2mR","TopLayer"
"R44A","3921","109.0000","109.0000","43.7100","43.7100","104.8500","43.7100","0","2mR","TopLayer"
"J1","634008149821","135.1650","132.6500","84.0000","84.0000","127.6600","80.4300","270","6339160-1","BottomLayer"
"J7","634008149821","135.1650","132.6500","88.6500","88.6500","127.6600","92.2200","90","6339160-1","TopLayer"
