Altium Designer Pick and Place Locations
C:\Users\Simon Anzer\Desktop\Elsys\170922_anzersimon_schindlertobias_ganumrichter\Altium\GaN_Inverter\Project Outputs for GanInverter\ProjectRevision\Pick Place\Pick_and_Place_GanInverter_Inverter_V1_Rev01.csv

========================================================================================================================
File Design Information:

Date:       29.12.22
Time:       14:54
Revision:   d5a87f617d2ff3787f1cf2b2f8fd3c7a73f27542
Variant:    Inverter_V1
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"J9C","1_Pin_Header","31.3660","31.3660","15.6592","15.6592","31.3660","15.6592","0","4-103327-3","TopLayer"
"J9B","1_Pin_Header","31.3659","31.3659","43.1842","43.1842","31.3659","43.1842","0","4-103327-3","TopLayer"
"J9A","1_Pin_Header","31.3659","31.3659","70.9842","70.9842","31.3659","70.9842","0","4-103327-3","TopLayer"
"J8C","1_Pin_Header","31.3660","31.3660","3.1551","3.1550","31.3660","3.1550","0","4-103327-3","TopLayer"
"J8B","1_Pin_Header","31.2910","31.2910","29.1301","29.1300","31.2910","29.1300","0","4-103327-3","TopLayer"
"J8A","1_Pin_Header","31.3660","31.3660","57.1551","57.1550","31.3660","57.1550","0","4-103327-3","TopLayer"
"F3","1812_PTC_Polyfuse_Littelfuse","-1.2300","-1.2300","61.2700","61.2700","-3.6200","61.2700","0","Littelfuse_PTC_1812","TopLayer"
"F2","1812_PTC_Polyfuse_Littelfuse","-1.2300","-1.2300","65.5900","65.5900","-3.6200","65.5900","0","Littelfuse_PTC_1812","TopLayer"
"F1","1812_PTC_Polyfuse_Littelfuse","-1.2300","-1.2300","69.9100","69.9100","-3.6200","69.9100","0","Littelfuse_PTC_1812","TopLayer"
"R10C","3921","109.0000","109.0000","12.4900","12.4900","104.8500","12.4900","0","2mR","TopLayer"
"R50","3921","109.0000","109.0000","62.0000","62.0000","113.1500","62.0000","180","2mR","TopLayer"
"R10B","3921","109.0000","109.0000","28.0000","28.0000","104.8500","28.0000","0","2mR","TopLayer"
"R10A","3921","109.0000","109.0000","43.7100","43.7100","104.8500","43.7100","0","2mR","TopLayer"
"J2","634008149821","135.1650","132.6500","84.0000","84.0000","127.6600","80.4300","270","634008149821","BottomLayer"
"J1","634008149821","135.1650","132.6500","88.6500","88.6500","127.6600","92.2200","90","634008149821","TopLayer"
"C77A","C_0603","93.2500","93.2500","60.6000","60.6000","93.2500","61.3000","270","0.1 µF","TopLayer"
"C7","C_0603","112.8500","112.8500","73.9250","73.9250","112.8500","73.2250","90","0.1 µF","TopLayer"
"C39C","C_0603","81.1500","81.1500","5.0750","5.0750","80.4500","5.0750","0","22 pF","TopLayer"
"C39B","C_0603","81.1500","81.1500","26.7750","26.7750","80.4500","26.7750","0","22 pF","TopLayer"
"C39A","C_0603","81.1500","81.1500","48.3500","48.3500","80.4500","48.3500","0","22 pF","TopLayer"
"C29C","C_0603","58.3000","58.3000","17.4750","17.4750","58.3000","18.1750","270","0.1 µF","BottomLayer"
"C29B","C_0603","58.3000","58.3000","44.7750","44.7750","58.3000","45.4750","270","0.1 µF","BottomLayer"
"C29A","C_0603","58.2250","58.2250","70.4934","70.4934","58.2250","71.1934","270","0.1 µF","BottomLayer"
"C27C","C_0603","44.0750","44.0750","25.1500","25.1500","44.0750","25.8500","270","0.1 µF","BottomLayer"
"C27B","C_0603","43.5250","43.5250","52.6250","52.6250","43.5250","53.3250","270","0.1 µF","BottomLayer"
"C27A","C_0603","44.1250","44.1250","78.2000","78.2000","44.1250","78.9000","270","0.1 µF","BottomLayer"
"C50","C_0603","104.2750","104.2749","78.0250","78.0250","104.2749","78.7250","270","56 pF","TopLayer"
"C51","C_0603","113.7125","113.7125","78.0125","78.0125","113.7125","77.3125","90","56 pF","TopLayer"
"C60","C_0603","109.0000","109.0000","81.5250","81.5250","108.3000","81.5250","0","0.1 µF","TopLayer"
"C10A","C_0603","105.3250","105.3250","37.2500","37.2500","105.3250","36.5500","90","10 nF","TopLayer"
"C28","C_0603","113.7000","113.7000","68.1750","68.1750","113.7000","68.8750","270","1 µF","TopLayer"
"C26C","C_0603","105.3200","105.3200","6.0600","6.0600","105.3200","5.3600","90","1 µF","TopLayer"
"C26B","C_0603","104.9000","104.9000","17.9750","17.9750","105.6000","17.9750","180","1 µF","TopLayer"
"C26A","C_0603","104.2500","104.2500","37.2500","37.2500","104.2500","36.5500","90","1 µF","TopLayer"
