time	V(vd)	V(vg)	V(Vd)*Ix(U1:D)+V(Vg)*Ix(U1:G)	Ix(U1:D)	Ix(U1:G)
0.000000000000000e+000	3.500000e+001	-3.899979e+000	1.513349e-004	3.890387e-006	-3.890114e-006
4.990000000000000e-006	3.500000e+001	-3.899979e+000	1.513349e-004	3.890385e-006	-3.890115e-006
4.990101837501628e-006	3.500422e+001	-3.867322e+000	-6.234157e-003	3.889807e-006	1.647217e-003
4.990305512504884e-006	3.501227e+001	-3.802211e+000	-2.679685e-002	3.887897e-006	7.083504e-003
4.990477848962135e-006	3.501859e+001	-3.747267e+000	-5.413366e-002	3.885291e-006	1.448248e-002
4.990644544622772e-006	3.502412e+001	-3.693958e+000	-9.271698e-002	3.881516e-006	2.513643e-002
4.990977935944045e-006	3.503394e+001	-3.585728e+000	-1.937388e-001	3.871146e-006	5.406836e-002
4.991419413928785e-006	3.504531e+001	-3.436977e+000	-3.567417e-001	3.852846e-006	1.038345e-001
4.992037996567637e-006	3.505920e+001	-3.213621e+000	-6.121916e-001	3.819409e-006	1.905407e-001
4.992793449588862e-006	3.507496e+001	-2.909355e+000	-9.146211e-001	3.767164e-006	3.144179e-001
4.993808135028107e-006	3.509716e+001	-2.435855e+000	-1.211880e+000	3.676916e-006	4.975704e-001
4.995086151895297e-006	3.513114e+001	-1.722719e+000	-1.266389e+000	3.524538e-006	7.351823e-001
4.996833920430714e-006	3.519360e+001	-5.333678e-001	-5.582420e-001	3.223056e-006	1.046849e+000
4.999206777873242e-006	3.530218e+001	1.352757e+000	1.943726e+000	2.663819e-006	1.436792e+000
5.000000000000000e-006	3.534514e+001	2.051596e+000	3.192992e+000	2.428497e-006	1.556303e+000
5.000281496777896e-006	3.535132e+001	2.231003e+000	3.544103e+000	2.328114e-006	1.588532e+000
5.000603207381206e-006	3.536118e+001	2.442698e+000	3.938215e+000	2.207447e-006	1.612208e+000
5.001246628587825e-006	3.538731e+001	2.876485e+000	4.683063e+000	1.895952e-006	1.628027e+000
5.002533471001065e-006	3.545215e+001	3.751301e+000	5.981685e+000	1.237448e-007	1.594562e+000
5.003606209416695e-006	3.551331e+001	4.471341e+000	6.823626e+000	-5.583493e-006	1.526125e+000
5.004086108300404e-006	3.554228e+001	4.785135e+000	7.103132e+000	-1.396079e-005	1.484520e+000
5.004336237315380e-006	3.555757e+001	4.944722e+000	7.221685e+000	-2.353845e-005	1.460653e+000
5.004477684484453e-006	3.556620e+001	5.033698e+000	7.281508e+000	-3.215387e-005	1.446780e+000
5.004555258341369e-006	3.557084e+001	5.082099e+000	7.312203e+000	-3.820749e-005	1.439083e+000
5.004602176680844e-006	3.557273e+001	5.111238e+000	7.330101e+000	-4.100943e-005	1.434400e+000
5.004635462984517e-006	3.557100e+001	5.131827e+000	7.342612e+000	-3.866785e-005	1.431067e+000
5.004672229093430e-006	3.556153e+001	5.154388e+000	7.356227e+000	-2.868334e-005	1.427375e+000
5.004712636892892e-006	3.553953e+001	5.178868e+000	7.370644e+000	-1.390449e-005	1.423311e+000
5.004742888888044e-006	3.551196e+001	5.196929e+000	7.380805e+000	-5.537169e-006	1.420262e+000
5.004776788380484e-006	3.546642e+001	5.216880e+000	7.391447e+000	-1.273936e-006	1.416842e+000
5.004812847222476e-006	3.539894e+001	5.237749e+000	7.401985e+000	1.801256e-008	1.413200e+000
5.004860187033435e-006	3.527808e+001	5.264534e+000	7.414658e+000	2.451617e-007	1.408415e+000
5.004914116484454e-006	3.508557e+001	5.293981e+000	7.427286e+000	2.554459e-007	1.402966e+000
5.005007516921569e-006	3.462329e+001	5.342450e+000	7.444975e+000	2.745963e-007	1.393549e+000
5.005108324069658e-006	3.395105e+001	5.391279e+000	7.458505e+000	3.508363e-007	1.383437e+000
5.005222866309833e-006	3.296038e+001	5.441999e+000	7.466755e+000	5.354770e-007	1.372058e+000
5.005350998842560e-006	3.159423e+001	5.492846e+000	7.467747e+000	9.034389e-007	1.359535e+000
5.005515302770965e-006	2.953108e+001	5.549752e+000	7.458351e+000	1.679121e-006	1.343898e+000
5.005728877574302e-006	2.653276e+001	5.611886e+000	7.432750e+000	3.283157e-006	1.324450e+000
5.006041569403524e-006	2.199672e+001	5.683232e+000	7.377920e+000	7.003367e-006	1.298164e+000
5.006572673460338e-006	1.473082e+001	5.772692e+000	7.263190e+000	1.601458e-005	1.258157e+000
5.006959706475295e-006	1.011795e+001	5.817192e+000	7.169747e+000	2.439380e-005	1.232468e+000
5.007173497663012e-006	7.987149e+000	5.831397e+000	7.114336e+000	2.980010e-005	1.219965e+000
5.007299315893099e-006	6.935187e+000	5.834655e+000	7.079719e+000	3.325696e-005	1.213352e+000
5.007585461693302e-006	4.789936e+000	5.856073e+000	7.025498e+000	4.155760e-005	1.199660e+000
5.007638955746773e-006	4.358280e+000	5.874707e+000	7.033507e+000	4.317976e-005	1.197220e+000
5.007680532192718e-006	4.123032e+000	5.870213e+000	7.017081e+000	4.445955e-005	1.195340e+000
5.007757344091909e-006	3.790396e+000	5.842491e+000	6.965143e+000	4.684607e-005	1.192123e+000
5.007809274504666e-006	3.584547e+000	5.826233e+000	6.934305e+000	4.847498e-005	1.190157e+000
5.007893486204676e-006	3.274508e+000	5.807495e+000	6.895211e+000	5.114273e-005	1.187266e+000
5.008061909604694e-006	2.711958e+000	5.785645e+000	6.839598e+000	5.654748e-005	1.182140e+000
5.008238320071477e-006	2.183674e+000	5.775863e+000	6.800907e+000	6.230078e-005	1.177447e+000
5.008488098404853e-006	1.513192e+000	5.776076e+000	6.767840e+000	7.061050e-005	1.171684e+000
